,t,c0,div1,div2
0,470.0,0.35,0.010989039676882084,0.020765609684870345
0,110.0,0.1,1.3058409939924371,1.3677644886649967
0,510.0,0.4,0.004936226818592626,0.004173737145324097
0,430.0,0.45,0.014069762345792103,0.03763925056060191
0,120.0,0.8,0.01673151159192654,0.0779563661683248
0,400.0,0.25,0.040933615963834435,0.2684499028170285
0,390.0,0.6,0.0035454628530849908,0.0026993886518257293
0,250.0,0.1,0.0012595381411062423,0.0006937758997770799
0,370.0,0.55,0.012711355525796941,0.03166338025310278
0,260.0,0.6,0.6847000532670457,0.9714071390130417
0,400.0,0.6,0.0031407737582410666,0.0022636046443574864
0,410.0,0.25,0.02753949915892351,0.13880483483457656
0,320.0,0.25,0.678460789759367,0.8507929510893578
0,140.0,0.1,1.1721732716614894,1.276397219103313
0,460.0,0.45,0.007323592175639826,0.00896295588027557
0,500.0,0.4,0.005625926194379682,0.005223860497549582
0,370.0,0.5,0.04485090519022483,0.372432913443009
0,450.0,0.35,0.018302163099421787,0.06349740060525566
0,230.0,0.7,0.01770606668688801,0.0691666276128412
0,410.0,0.55,0.005227346517217235,0.005005304584961956
0,270.0,0.6,0.3183268156959061,0.9819561974585822
