"","t","sp_c","bi_c"
"114",487.151507537688,0.745857928964482,0.589469734867434
"112",482.628894472362,0.751740870435218,0.593391695847924
"110",478.106281407035,0.758114057028514,0.597313656828414
"108",473.583668341709,0.76399699849925,0.601725862931466
"106",469.061055276382,0.769389694847424,0.605647823911956
"104",464.538442211055,0.775272636318159,0.609569784892446
"102",460.015829145729,0.780665332666333,0.613491745872936
"100",455.493216080402,0.786548274137069,0.617413706853427
"98",450.970603015075,0.791940970485243,0.621335667833917
"96",446.447989949749,0.796843421710855,0.625257628814407
"94",441.925376884422,0.80223611805903,0.629179589794897
"92",437.402763819095,0.807628814407204,0.633101550775388
"90",432.880150753769,0.812531265632816,0.636533266633317
"88",428.357537688442,0.817433716858429,0.640455227613807
"86",423.834924623116,0.822336168084042,0.644377188594297
"84",419.312311557789,0.827238619309655,0.647808904452226
"82",414.789698492462,0.831650825412706,0.651730865432716
"80",410.267085427136,0.836553276638319,0.655162581290645
"78",405.744472361809,0.840965482741371,0.659084542271136
"76",401.221859296482,0.845377688844422,0.662516258129065
"74",396.699246231156,0.849789894947474,0.665947973986993
"72",392.176633165829,0.854202101050525,0.669379689844922
"70",387.654020100503,0.858614307153577,0.673301650825413
"68",383.131407035176,0.862536268134067,0.676733366683342
"66",378.608793969849,0.866458229114557,0.680165082541271
"64",374.086180904523,0.870870435217609,0.6835967983992
"62",369.563567839196,0.874792396198099,0.687028514257129
"60",365.040954773869,0.878224112056028,0.690460230115058
"58",360.518341708543,0.882146073036518,0.693891945972986
"56",355.995728643216,0.886068034017009,0.697323661830915
"54",351.473115577889,0.889499749874937,0.700755377688844
"52",346.950502512563,0.892931465732866,0.704187093546773
"50",342.427889447236,0.896363181590795,0.707128564282141
"48",337.90527638191,0.899794897448724,0.71056028014007
"46",333.382663316583,0.903226613306653,0.713991995997999
"44",328.860050251256,0.906658329164582,0.717423711855928
"42",324.33743718593,0.90959979989995,0.720365182591296
"40",319.814824120603,0.913031515757879,0.723796898449225
"38",315.292211055276,0.915972986493247,0.726738369184592
"36",310.76959798995,0.918914457228614,0.730170085042521
"34",306.246984924623,0.921855927963982,0.733111555777889
"32",301.724371859296,0.924307153576788,0.736543271635818
"30",297.20175879397,0.927248624312156,0.739484742371186
"28",292.679145728643,0.930190095047524,0.742916458229115
"26",288.156532663317,0.93264132066033,0.745857928964482
"24",283.63391959799,0.935092546273137,0.74879939969985
"22",279.111306532663,0.937543771885943,0.751740870435218
"20",274.588693467337,0.939994997498749,0.755172586293147
"18",270.06608040201,0.942446223111556,0.758114057028514
"16",265.543467336683,0.944897448724362,0.761055527763882
"14",261.020854271357,0.946858429214607,0.76399699849925
"12",256.49824120603,0.949309654827414,0.766938469234617
"10",251.975628140704,0.951270635317659,0.769879939969985
"8",247.453015075377,0.953231615807904,0.772821410705353
"6",242.93040201005,0.95568284142071,0.77576288144072
"4",238.407788944724,0.957643821910955,0.778704352176088
"2",233.885175879397,0.959114557278639,0.781645822911456
